Temporada;Equipo;Jugador;Partidos_Jugados;Goles;Asistencias;Disparos;Pases_completados;Tacles;Amarillas;Rojas;Minutos_jugados;Fueras_de_juego;Faltas;Porterias_a_cero
2018/19;Barcelona;L. Messi;11;5;0;96;251;42;8;0;2165;11;0;4
2016/17;Juventus;C. Eriksen;27;20;8;57;114;25;1;1;3351;12;0;12
2016/17;Manchester United;P. Pogba;22;3;4;97;444;48;2;2;2660;0;8;9
2016/17;Chelsea;L. Insigne;11;22;6;13;358;35;5;2;1114;4;0;4
2017/18;Paris Saint-Germain;K. Koulibaly;6;4;10;78;583;25;6;1;1479;13;5;4
2018/19;Barcelona;V. van Dijk;24;1;16;53;614;40;8;1;3595;14;5;7
2019/20;Liverpool;K. Mbappé;25;14;2;41;599;41;1;2;2287;4;4;12
2016/17;Barcelona;S. Agüero;27;29;9;70;971;29;4;2;2097;10;9;12
2019/20;Manchester United;M. Neuer;32;12;17;84;973;14;1;0;1612;12;9;2
2017/18;Juventus;E. Cavani;14;26;5;19;759;6;5;0;638;0;5;1
2020/21;Real Madrid;Sergio Busquets;13;0;8;34;716;18;2;2;2061;12;1;11
2018/19;Liverpool;T. Courtois;18;7;6;67;901;17;8;2;2181;3;8;11
2016/17;Paris Saint-Germain;M. ter Stegen;37;8;0;54;890;42;8;0;1673;13;4;12
2018/19;Barcelona;A. Griezmann;39;29;14;46;626;33;8;0;1006;5;3;0
2016/17;Barcelona;M. Salah;22;22;8;97;360;27;1;0;2915;14;3;12
2020/21;Liverpool;P. Dybala;18;0;10;88;896;12;3;1;293;5;3;1
2022/23;Real Madrid;M. Škriniar;35;12;13;80;202;49;5;1;846;12;1;12
2016/17;Manchester United;Fernandinho;33;2;15;59;829;18;1;2;1808;0;0;12
2022/23;Liverpool;G. Higuaín;5;25;9;39;687;24;1;2;429;11;4;7
2019/20;Chelsea;I. Rakiti?;14;8;14;46;344;42;5;2;474;10;3;14
2018/19;Bayern Munich;J. Vertonghen;24;0;8;71;447;5;5;2;3197;11;2;9
2019/20;Barcelona;D. Mertens;10;4;14;66;361;24;3;0;2423;9;7;0
2020/21;Real Madrid;Marcelo;21;10;13;25;642;31;7;1;2067;3;9;4
2016/17;Manchester United;T. Alderweireld;27;20;12;12;749;25;9;2;1434;9;1;0
2022/23;Manchester United;Jordi Alba;2;8;14;53;847;33;6;1;2810;7;9;12
2016/17;Bayern Munich;Thiago;16;2;10;15;755;32;7;1;783;12;1;11
2016/17;Manchester United;C. Immobile;32;27;19;41;353;13;4;2;2660;0;1;4
2022/23;Chelsea;K. Navas;32;28;9;74;777;25;1;1;2683;4;3;2
2020/21;Barcelona;Isco;18;10;3;16;857;35;2;2;2039;1;2;4
2022/23;Real Madrid;J. Rodríguez;28;0;16;39;309;16;4;1;1296;3;8;14
2017/18;Barcelona;Casemiro;15;0;13;23;454;46;3;1;2611;13;1;11
2022/23;Chelsea;M. Icardi;15;11;3;30;567;10;6;1;830;11;0;0
2018/19;Manchester United;Kepa;3;3;12;68;741;49;2;1;986;11;4;0
2018/19;Juventus;H. Ziyech;13;7;18;61;270;44;4;0;2207;0;3;4
2017/18;Manchester United;Fabinho;30;15;12;85;906;33;9;1;2936;3;8;6
2016/17;Bayern Munich;A. Martial;12;6;4;93;899;9;1;1;820;9;4;8
2022/23;Paris Saint-Germain;T. Werner;1;23;0;23;543;40;4;0;3074;1;6;6
2021/22;Liverpool;N. Süle;14;12;14;29;183;14;4;0;1100;5;9;0
2016/17;Bayern Munich;Bruno Fernandes;38;25;13;64;792;16;2;0;1727;5;6;13
2016/17;Chelsea;Alex Telles;21;0;18;43;155;19;8;2;2085;12;9;1
2020/21;Paris Saint-Germain;J. Giménez;23;10;10;47;593;31;3;2;673;4;5;9
2018/19;Juventus;N. Fekir;30;15;6;11;261;49;3;0;1081;1;3;6
2019/20;Bayern Munich;D. Sánchez;11;14;12;72;573;35;9;1;1949;13;7;12
2021/22;Manchester United;Marco Asensio;12;9;16;19;586;29;7;1;389;13;3;12
2022/23;Barcelona;O. Dembélé;12;18;6;21;626;5;1;1;563;13;5;2
2019/20;Paris Saint-Germain;Iniesta;16;20;4;62;744;22;9;1;1026;9;7;7
2022/23;Chelsea;Z. Ibrahimovi?;6;3;1;95;265;25;7;2;471;3;4;6
2022/23;Bayern Munich;Jorginho;13;18;10;65;155;15;7;0;1421;12;9;7
