Season;Team;Player;Matches_Played;Goals;Assists;Shots;Passes_Completed;Tackles;Yellow_Cards;Red_Cards;Minutes_Played;Offsides;Fouls;Clean_Sheets
2018/19;Barcelona;Player_1;11;5;0;96;251;42;8;0;2165;11;0;4
2016/17;Juventus;Player_2;27;20;8;57;114;25;1;1;3351;12;0;12
2016/17;Manchester United;Player_3;22;3;4;97;444;48;2;2;2660;0;8;9
2016/17;Chelsea;Player_4;11;22;6;13;358;35;5;2;1114;4;0;4
2017/18;Paris Saint-Germain;Player_5;6;4;10;78;583;25;6;1;1479;13;5;4
2018/19;Barcelona;Player_6;24;1;16;53;614;40;8;1;3595;14;5;7
2019/20;Liverpool;Player_7;25;14;2;41;599;41;1;2;2287;4;4;12
2016/17;Barcelona;Player_8;27;29;9;70;971;29;4;2;2097;10;9;12
2019/20;Manchester United;Player_9;32;12;17;84;973;14;1;0;1612;12;9;2
2017/18;Juventus;Player_10;14;26;5;19;759;6;5;0;638;0;5;1
2020/21;Real Madrid;Player_11;13;0;8;34;716;18;2;2;2061;12;1;11
2018/19;Liverpool;Player_12;18;7;6;67;901;17;8;2;2181;3;8;11
2016/17;Paris Saint-Germain;Player_13;37;8;0;54;890;42;8;0;1673;13;4;12
2018/19;Barcelona;Player_14;39;29;14;46;626;33;8;0;1006;5;3;0
2016/17;Barcelona;Player_15;22;22;8;97;360;27;1;0;2915;14;3;12
2020/21;Liverpool;Player_16;18;0;10;88;896;12;3;1;293;5;3;1
2022/23;Real Madrid;Player_17;35;12;13;80;202;49;5;1;846;12;1;12
2016/17;Manchester United;Player_18;33;2;15;59;829;18;1;2;1808;0;0;12
2022/23;Liverpool;Player_19;5;25;9;39;687;24;1;2;429;11;4;7
2019/20;Chelsea;Player_20;14;8;14;46;344;42;5;2;474;10;3;14
2018/19;Bayern Munich;Player_21;24;0;8;71;447;5;5;2;3197;11;2;9
2019/20;Barcelona;Player_22;10;4;14;66;361;24;3;0;2423;9;7;0
2020/21;Real Madrid;Player_23;21;10;13;25;642;31;7;1;2067;3;9;4
2016/17;Manchester United;Player_24;27;20;12;12;749;25;9;2;1434;9;1;0
2022/23;Manchester United;Player_25;2;8;14;53;847;33;6;1;2810;7;9;12
2016/17;Bayern Munich;Player_26;16;2;10;15;755;32;7;1;783;12;1;11
2016/17;Manchester United;Player_27;32;27;19;41;353;13;4;2;2660;0;1;4
2022/23;Chelsea;Player_28;32;28;9;74;777;25;1;1;2683;4;3;2
2020/21;Barcelona;Player_29;18;10;3;16;857;35;2;2;2039;1;2;4
2022/23;Real Madrid;Player_30;28;0;16;39;309;16;4;1;1296;3;8;14
2017/18;Barcelona;Player_31;15;0;13;23;454;46;3;1;2611;13;1;11
2022/23;Chelsea;Player_32;15;11;3;30;567;10;6;1;830;11;0;0
2018/19;Manchester United;Player_33;3;3;12;68;741;49;2;1;986;11;4;0
2018/19;Juventus;Player_34;13;7;18;61;270;44;4;0;2207;0;3;4
2017/18;Manchester United;Player_35;30;15;12;85;906;33;9;1;2936;3;8;6
2016/17;Bayern Munich;Player_36;12;6;4;93;899;9;1;1;820;9;4;8
2022/23;Paris Saint-Germain;Player_37;1;23;0;23;543;40;4;0;3074;1;6;6
2021/22;Liverpool;Player_38;14;12;14;29;183;14;4;0;1100;5;9;0
2016/17;Bayern Munich;Player_39;38;25;13;64;792;16;2;0;1727;5;6;13
2016/17;Chelsea;Player_40;21;0;18;43;155;19;8;2;2085;12;9;1
2020/21;Paris Saint-Germain;Player_41;23;10;10;47;593;31;3;2;673;4;5;9
2018/19;Juventus;Player_42;30;15;6;11;261;49;3;0;1081;1;3;6
2019/20;Bayern Munich;Player_43;11;14;12;72;573;35;9;1;1949;13;7;12
2021/22;Manchester United;Player_44;12;9;16;19;586;29;7;1;389;13;3;12
2022/23;Barcelona;Player_45;12;18;6;21;626;5;1;1;563;13;5;2
2019/20;Paris Saint-Germain;Player_46;16;20;4;62;744;22;9;1;1026;9;7;7
2022/23;Chelsea;Player_47;6;3;1;95;265;25;7;2;471;3;4;6
2022/23;Bayern Munich;Player_48;13;18;10;65;155;15;7;0;1421;12;9;7
2020/21;Manchester United;Player_49;11;23;6;90;948;18;1;0;2134;8;2;9
2016/17;Liverpool;Player_50;22;14;12;14;953;49;8;2;1107;6;5;9
2018/19;Barcelona;Player_51;23;1;19;25;662;28;7;1;1298;6;4;2
2017/18;Manchester United;Player_52;35;13;12;83;340;25;4;2;2979;10;9;8
2017/18;Paris Saint-Germain;Player_53;17;1;2;39;205;25;5;0;447;11;6;12
2016/17;Bayern Munich;Player_54;2;26;6;28;595;16;8;2;3229;12;0;6
2018/19;Juventus;Player_55;20;22;4;66;677;22;4;1;673;9;1;6
2017/18;Liverpool;Player_56;18;16;4;93;762;30;0;2;1288;9;9;5
2018/19;Chelsea;Player_57;26;2;10;95;401;48;1;1;144;0;8;11
2017/18;Chelsea;Player_58;6;27;13;51;243;28;2;0;665;2;2;10
2022/23;Paris Saint-Germain;Player_59;34;18;1;48;951;16;0;1;772;14;9;0
2021/22;Chelsea;Player_60;21;9;13;63;359;14;4;2;2224;4;7;3
