Categoria de Producto Visaulizado;Ciudad;Compra_Completada;Descuento_Aplicado;Tipo_de_Dispositivo;Sistema_Operativo_Dispositivo;País;Miembro_Lealtad;Método_de_Pago;ID_Usuario;Género;Fuente_Referencia;Duración de la sesión en minutos;Edad;Estimado Días de Entrega;Hora_Compra;Porcentaje_Descuento;Productos_Visualizados;Rango_Precio_Producto;Reseñas enviadas por el usuario.;Cantidad_Gastada
Ropa;Berlín;No;No;Móvil;Linux;Germany;No;Criptomoneda;U0207;Masculino;Google;68;34;14;16;24;44;44444;8;0
Ropa;Berlín;No;No;Móvil;Linux;Germany;No;Tarjeta de Regalo;U0395;Femenino;Redes Sociales;133;24;8;4;0;33;20166;0;0
Ropa;Berlín;No;No;Tableta;MacOS;Germany;No;Criptomoneda;U0180;Masculino;Otro;62;56;19;15;12;48;15422;7;0
Ropa;Berlín;No;Sí;Móvil;MacOS;Germany;Sí;Criptomoneda;U0671;Masculino;Google;119;23;29;19;17;11;19212;8;35678
Ropa;Berlín;No;Sí;Móvil;Windows;Germany;No;Criptomoneda;U1108;Otro;Otro;48;54;19;15;0;8;33372;4;90215
Ropa;Berlín;No;Sí;Tableta;Android;Germany;No;PayPal;U1368;Femenino;Google;122;28;26;23;0;44;49782;8;67372
Ropa;Berlín;No;Sí;Tableta;Windows;Germany;No;Tarjeta de Crédito;U1188;Masculino;Correo Electrónico;105;43;7;4;48;39;29596;5;0
Ropa;Berlín;Sí;No;Escritorio;iOS;Germany;Sí;Criptomoneda;U0799;Masculino;Correo Electrónico;92;64;17;5;0;10;42514;10;0
Ropa;Berlín;Sí;No;Móvil;Linux;Germany;Sí;Tarjeta de Crédito;U0763;Otro;Google;136;55;4;2;0;30;10236;10;0
Ropa;Berlín;Sí;No;Tableta;Linux;Germany;No;PayPal;U0267;Otro;Google;27;43;3;4;0;26;42555;7;86837
Ropa;Berlín;Sí;Sí;Escritorio;iOS;Germany;Sí;PayPal;U1071;Otro;Google;176;57;22;10;1;29;34434;7;2127
Ropa;Berlín;Sí;Sí;Tableta;Windows;Germany;Sí;Tarjeta de Regalo;U0304;Masculino;Google;96;33;30;0;0;18;3747;2;0
